id,nom,marque,caracteristiques,prix,Alimentation,Alimentation redondante,Appareils intégrés,Capacité,Caractéristiques,Catégorie,Compatibilité,Compatibilité TTA,Contrôleur de stockage,Contrôleur de stockage Quantité,Conçu pour,Couleur,Disponibilité de service,Dispositifs de sécurité,Disque dur,Durée totale de contrat,Format,Fourni avec,Garantie du fabricant,Hauteur (unités de rack),Interface,Lecteurs pris en charge,Lieu d'intervention,Localisation,Localisation et disposition,Nbre de licences,Nom de logiciel,Nombre de touches spéciales,Placage du connecteur,Plate-forme,Poids,Programme de ventes par le fabricant,Périphériques installés / Nbre de modules,Référence équivalente à celle du fabricant d'origine,Rétroéclairé,Service compris,Service et maintenance,Technologie de connectivité,Temps de latence,Temps de réponse,Tension,Type,Type d'emballage,Type de Produit,Type de boîtier,Type de mise à niveau,Type de mémoire,Type de tarification,Version,Vitesse,Vérification de l'Intégrité des Données
10217770,Kingston FURY Renegade Pro,KINGSTON,DDR5 - module - 16 Go - DIMM 288 broches - 5600 MT/s / PC5-44800 - CL28 - 1.35 V - mémoire enregistré - on-die ECC - noir,158.59,,,,16 Go,"Un rang, Intel Extreme Memory Profiles (XMP), AMD EXPO, mémoire enregistré",,,,,,,,,,,,,,Garantie limitée à vie,,,,,,,,,,Or,,,,,Kingson KF556R28RBE-16,,,,,CL28 (28-34-34),,1.35 V,,,Module mémoire,,Générique,DDR5 SDRAM - DIMM 288 broches,,,5600 MT/s (PC5-44800),On-die ECC
8354487,HP 6A,HP INC,DDR3L - module - 2 Go - DIMM 120-pin - 933 MHz - Conformité TAA,220.0,,,,2 Go,,,,Oui,,,,,,,,,,,90 jours de garantie,,,,,,,,,,,,,,,,,,,,,,,,,Module mémoire,,Spécifique au système,DDR3L SDRAM - DIMM 120-pin,,,933 MHz,
9812509,HPE SmartMemory,HP ENT,DDR5 - module - 32 Go - DIMM 288 broches - 5600 MHz / PC5-44800 - CL46 - 1.1 V - mémoire enregistré - ECC,1580.0,,,,32 Go,"Deux rangs, mémoire enregistré",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CL46 (46-45-45),,1.1 V,,,Module mémoire,,Spécifique au système,DDR5 SDRAM - DIMM 288 broches,,,5600 MHz (PC5-44800),ECC
9823931,Micron,MICRON,DDR5 - module - 32 Go - DIMM 288 broches - 5600 MHz / PC5-44800 - CL46 - 1.1 V - mémoire enregistré - ECC,375.12,,,,32 Go,"Deux rangs, mémoire enregistré",,,,,,,,,,,,,,Garantie de 3 ans,,,,,,,,,,,,,,,,,,,,CL46 (46-45-45),,1.1 V,,,Module mémoire,,Générique,DDR5 SDRAM - DIMM 288 broches,,,5600 MHz (PC5-44800),ECC
9910475,Kingston FURY Renegade Pro,KINGSTON,DDR5 - kit - 128 Go: 4 x 32 Go - DIMM 288 broches - 5600 MHz / PC5-44800 - CL28 - 1.35 V - mémoire enregistré - on-die ECC - noir,1172.29,,,,128 Go: 4 x 32 Go,"Deux rangs, 32 banques, AMD EXPO, Intel Extreme Memory Profiles (XMP 3.0), mémoire enregistré",,,,,,,,,,,,,,Garantie limitée à vie (Russie - 10 ans),,,,,,,,,,Or,,,,,,,,,,CL28 (28-34-34),,1.35 V,,,Kit mémoire,,Générique,DDR5 SDRAM - DIMM 288 broches,,,5600 MHz (PC5-44800),On-die ECC
6173310,Lenovo,LENOVO,DDR4 - module - 32 Go - SO DIMM 260 broches - 2933 MHz / PC4-23400 - 1.2 V - mémoire sans tampon - ECC - pour ThinkPad P1 Gen 3; P15 Gen 1; P15v Gen 1; P17 Gen 1; T15g Gen 1,361.0,,,,32 Go,Mémoire sans tampon,,,,,,"ThinkPad P1 Gen 3 20TH, 20TJ; P15 Gen 1 20ST, 20SU; P15v Gen 1 20TQ, 20TR; P17 Gen 1 20SN, 20SQ; T15g Gen 1 20UR, 20US",,,,,,,,,,,,,,,,,,,,,,,Lenovo 4X71B07148,,,,,,,1.2 V,,,Module mémoire,,Spécifique au système,DDR4 SDRAM - SO DIMM 260 broches,,,2933 MHz (PC4-23400),ECC
6173769,HP,HP INC,"DDR4 - module - 32 Go - SO DIMM 260 broches - 3200 MHz / PC4-25600 - 1.2 V - mémoire sans tampon - non ECC - pour Elite Slice G2 (SODIMM); EliteDesk 705 G5 (SODIMM); EliteOne 800 G6 , 800 G8; ProDesk 400 G5 (SODIMM), 400 G6 (SODIMM), 600 G5 (SODIMM), 600 G6 (SODIMM); ProOne 400 G6, 440 G6, 600 G6",420.0,,,,32 Go,Mémoire sans tampon,,,,,,"Elite Slice G2 (SODIMM); EliteDesk 705 G5 (SODIMM); EliteOne 800 G6 , 800 G8; ProDesk 400 G5 (SODIMM), 400 G6 (SODIMM), 600 G5 (SODIMM), 600 G6 (SODIMM); ProOne 400 G6, 440 G6, 600 G6",,,,,,,,1 an de garantie,,,,,,,,,,,,,,,"HP L82034-001, HP 13L73AA",,,,,,,1.2 V,,,Module mémoire,,Spécifique au système,DDR4 SDRAM - SO DIMM 260 broches,,,3200 MHz (PC4-25600),Non ECC
6173796,HP,HP INC,"DDR4 - module - 4 Go - DIMM 288 broches - 3200 MHz / PC4-25600 - 1.2 V - mémoire sans tampon - non ECC - pour HP 280 G4, 280 G5, 290 G3, 290 G4; Desktop 280 Pro G5, Pro 300 G6; EliteDesk 705 G5 (DIMM), 800 G6 (DIMM), 800 G8 (DIMM); 805 G8 (DIMM); ProDesk 400 G6 (DIMM), 405 G6 (DIMM), 400 G7 (DIMM), 600 G5 (DIMM), 600 G6 (DI",75.0,,,,4 Go,Mémoire sans tampon,,,,,,"HP 280 G4, 280 G5, 290 G3, 290 G4; Desktop 280 Pro G5, Pro 300 G6; EliteDesk 705 G5 (DIMM), 800 G6 (DIMM), 800 G8 (DIMM); 805 G8 (DIMM); ProDesk 400 G6 (DIMM), 405 G6 (DIMM), 400 G7 (DIMM), 600 G5 (DIMM), 600 G6 (DIMM); Workstation Z1 G8, Z1 G8 Entry",,,,,,,,1 an de garantie,,,,,,,,,,,,,,,"HP L82034-001, HP 13L78AA",,,,,,,1.2 V,,,Module mémoire,,Spécifique au système,DDR4 SDRAM - DIMM 288 broches,,,3200 MHz (PC4-25600),Non ECC
6176119,Lenovo,LENOVO,"DDR4 - module - 16 Go - DIMM 288 broches - 3200 MHz / PC4-25600 - 1.2 V - mémoire enregistré - ECC - vert - pour ThinkStation P620 30E0, 30E1",204.0,,,,16 Go,Mémoire enregistré,,,,,,"ThinkStation P620 30E0, 30E1",,,,,,,,Garantie de 3 ans,,,,,,,,,,,,,,,Lenovo 4X71B67860,,,,,,,1.2 V,,,Module mémoire,,Spécifique au système,DDR4 SDRAM - DIMM 288 broches,,,3200 MHz (PC4-25600),ECC
4704822,HPE SmartMemory,HP ENT,DDR4 - module - 16 Go - DIMM 288 broches - 2666 MHz / PC4-21300 - CL19 - 1.2 V - mémoire enregistré - ECC - recommercialisé,445.0,,,,16 Go,"Deux rangs, mémoire enregistré",,,,,,"Nimble Storage dHCI Large Solution with HPE ProLiant DL380 Gen10, Medium Solution with HPE ProLiant DL360 Gen10, Small Solution with HPE ProLiant DL360 Gen10; ProLiant DL180 Gen10, DL325 Gen10, DL360 Gen10, DL380 Gen10, DL385 Gen10, DL388 Gen10, DL560 Gen10, DX380 Gen10, ML350 Gen10",,,,,,,,,,,,,,,,,,,,,,,HP 835955-B21,,,,,CL19 (19-19-19),,1.2 V,,,Module mémoire,,Spécifique au système,DDR4 SDRAM - DIMM 288 broches,Recommercialisé,,2666 MHz (PC4-21300),ECC
