id,nom,marque,caracteristiques,prix,Affichage,Agrafeuse,AirPrint activé,Alimentation,Assembleuse,Avertissement sur les couleurs de l'image,Balayage,Capacité de support standard,Capacité des bacs de sortie,Capacité du bac de dérivation,Capacité du chargeur de documents,Capacité max. du support,Capacité totale,Catégorie de résolution d'impression maximale,Catégorie de résolution de copie maximale,Certification Microsoft,Classe de taille de support,Codes à barres,Configuration requise,Couleur du boîtier,Cycle d'utilisation mensuel (maxi),Disponibilité de la connexion,Empileuse,Fonctionnalités de l'imprimante,Fonctions de l'article de bureau,Garantie du fabricant,Gestion des supports,Impression recto-verso automatique,Interface,Langage(s) d'impression,Localisation,Normes environnementales,Poids,Processeur,RAM installée (maximum),Relieuse,Réseaux,Résolution d'impression maximale,Résolution de reproduction maximale,Résolution maximum (N&B),Résolutions du télécopieur,Système de compression des données,Taille de l'écran de prévisualisation,Taille du support,Taille initiale,Taille max. du support,Taille maximum du support (personnalisée),Taille minimale du support (personnalisée),Technique d'amélioration de l'image,Technologie d'impression,Type d'imprimante,Type d'origine,Type de photocopieuse,Type de supports,Type de tarification,Type de télécopieur,Vitesse d'impression,Vitesse d'impression max.,Vitesse de reproduction maximale,Vitesse de transmission de télécopie maximale,Volume mensuel recommandé
30046352,UNBW,UNBW,UNBW/ALTALINK C8230/C8235 BASE IOT W/HIG,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7346982,Canon i-SENSYS MF552dw,CANON,"SENSYS MF552dw - Imprimante multifonctions - Noir et blanc - laser - A4 (210 x 297 mm), Legal (216 x 356 mm) (original) - A4/Legal (support) - jusqu'à 43 ppm (copie) - jusqu'à 43 ppm (impression) - 650 feuilles - USB 2.0, Gigabit LAN, Wi-Fi(n), hôte USB",677.96,,,Oui,CA 230 V (50/60Hz),,,600 x 600 ppp,650 feuilles,150 feuilles,100 feuilles,50 feuilles,2300 feuilles,,,,,,,,,150000 pages,Oui,,,"Numérisation vers e-mail, numériser vers le Cloud, mode de point d'accès, iFAX, impression de code à barre",Garantie de 2 ans (France - 3 ans avec enregistrement du produit),,Oui (copie) Oui (impression) Oui (numérisation),"USB 2.0, Gigabit LAN, Wi-Fi(n), hôte USB",,,,19.8 kg,,,,,Jusqu'à 1200 x 1200 ppp,Jusqu'à 600 x 600 ppp,,,,,"76.2 x 127 mm (min.) - A4 (210 x 297 mm), Legal (216 x 356 mm) (maximum)","105 x 128 mm (min.) - A4 (210 x 297 mm), Legal (216 x 356 mm) (maximum)",,,,,Laser (monochrome),,Feuilles,,"Papier uni, papier recyclé, papier lourd, papier fin, étiquettes, cartes postales, enveloppes",,,,Jusqu'à 43 ppm,Jusqu'à 43 ppm,,2 000 - 7 500 pages
8266784,Canon i-SENSYS MF275dw,CANON,"SENSYS MF275dw - Imprimante multifonctions - Noir et blanc - laser - A4 (210 x 297 mm), Legal (216 x 356 mm) (original) - A4/Legal (support) - jusqu'à 29 ppm (copie) - jusqu'à 29 ppm (impression) - 150 feuilles - 33.6 Kbits/s - USB 2.0, LAN, Wi-Fi(n)",276.32,,,Oui,AC 220-240 V (50/60Hz),,,600 x 600 ppp,150 feuilles,50 feuilles,1 feuille,35 feuilles,,,,,,,,,,20000 pages,Oui,,,"Numérisation vers PC, numériser vers le Cloud, mode de point d'accès",1 an de garantie,,Oui (copie) Oui (impression),"USB 2.0, LAN, Wi-Fi(n)",,,,11.4 kg,,,,,Jusqu'à 2400 x 600 ppp,Jusqu'à 600 x 600 ppp,,"200 x 400 ppp, 200 x 200 ppp, 200 x 100 ppp",,,"76 x 127 mm (min.) - Legal (216 x 356 mm), A4 (210 x 297 mm) (maximum)","76 x 127 mm (min.) - A4 (210 x 297 mm), Legal (216 x 356 mm) (maximum)",,,,,Laser (monochrome),,Feuilles,,"Enveloppes, papier uni, étiquettes, papier recyclé, papier, papier lourd, papier fin, cartes postales",,Papier uni,,Jusqu'à 29 ppm,Jusqu'à 29 ppm,33.6 Kbits/s,200 - 2 000 pages
8633179,Brother MFC-L6710DW,BROTHER,"L6710DW - Imprimante multifonctions - Noir et blanc - laser - A4/Legal (support) - jusqu'à 50 ppm (copie) - jusqu'à 50 ppm (impression) - 520 feuilles - 33.6 Kbits/s - USB 2.0, Gigabit LAN, Wi-Fi(n)",689.0,"5""",,,AC 220-240 V (50/60Hz),,,1200 x 1200 ppp,520 feuilles,150 feuilles,100 feuilles,70 feuilles,,,Jusqu'à 1200 x 1200 ppp,Jusqu'à 1200 x 600 ppp,,,,,,,Oui,,,"Impression à partir d'un lecteur flash USB, numérisation vers FTP, numérisation vers OCR, numérisation vers serveur d'e-mail, numérisation vers image, scan vers hôte USB, numérisation vers e-mail, numérisation vers le dossier du réseau, numérisation vers sFTP, numérisation au format SharePoint, numérisation vers un lecteur USB",Garantie de 2 ans,,Oui (copie) Oui (impression) Oui (numérisation),"USB 2.0, Gigabit LAN, Wi-Fi(n)",,,"ENERGY STAR, Blue Angel",17.3 kg,,,,,Jusqu'à 1200 x 1200 ppp,Jusqu'à 1200 x 600 ppp,,,"MH, MR, MMR, JBIG",,"Legal (216 x 356 mm), A4 (210 x 297 mm) (maximum)",,,,,,Laser (monochrome),,Feuilles,,"Papier uni, papier à en-tête, papier coloré, papier fin, papier recyclé, papier épais, enveloppes, étiquettes",,Super G3 - papier uni,,Jusqu'à 50 ppm,Jusqu'à 50 ppm,33.6 Kbits/s,Up to 8000 pages
8568914,Canon i-SENSYS MF461dw,CANON,"SENSYS MF461dw - Imprimante multifonctions - Noir et blanc - laser - A4 (210 x 297 mm), Legal (216 x 356 mm) (original) - A4/Legal (support) - jusqu'à 36 ppm (copie) - jusqu'à 36 ppm (impression) - 250 feuilles - USB 2.0, Gigabit LAN, Wi-Fi(n)",414.93,"5""",,Oui,CA 230 V (50/60Hz),,,600 x 600 ppp,250 feuilles,150 feuilles,100 feuilles,50 feuilles,900 feuilles,,,,,,,,,80000 pages,Oui,,,"Impression à partir d'un lecteur flash USB, imprimer à partir du cloud, numérisation vers e-mail, numérisation vers PC, numérisation vers un lecteur USB, numérisation vers FTP, numériser vers le Cloud",,,Oui (copie) Oui (impression) Oui (numérisation),"USB 2.0, Gigabit LAN, Wi-Fi(n)",,,ENERGY STAR,16.3 kg,,,,,Jusqu'à 1200 x 1200 ppp,Jusqu'à 600 x 600 ppp,,,,,"76.2 x 127 mm (min.) - Legal (216 x 356 mm), A4 (210 x 297 mm) (maximum)","A4 (210 x 297 mm), Legal (216 x 356 mm) (maximum)",,,,,Laser (monochrome),,Feuilles,,"Papier uni, papier recyclé, papier lourd, papier fin, étiquettes, cartes postales, enveloppes",,,,Jusqu'à 36 ppm,Jusqu'à 36 ppm,,750 - 4 000 pages
30045850,UNBW,UNBW,UNBW/VersaLink C7120/C7125/C7130 3 Trays,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30045484,UNBW,UNBW,UNBW/ALTALINK C8230/C8235 BASE IOT W/2 T,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30045824,UNBW,UNBW,UNBW/VersaLink C7120/C7125/C7130 3 Trays,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30046396,UNBW,UNBW,UNBW/ALTALINK C8230/C8235 BASE IOT W/HIG,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11843862,BROTHER DCP-L1642W,BROTHER,DCP-L1642W - Imprimante laser multifonction 3-en-1 monochrome - A4 - 20ppm - 128Mo - Wi-Fi & direct - Cartouche de toner jusqu'à 450 pages inclus. - compacte et facile à utiliser. - Éligible au forfait EcoPro,143.0,,,Oui,CA 230 V (50/60Hz),,,600 x 1 200 ppp,150 feuilles,50 feuilles,,,,,Jusqu'à 2400 x 600 ppp,,,,,,,,Oui,,,"Numérisation vers e-mail, numérisation vers image, numérisation vers appareil mobile, numérisation vers FTP, numérisation vers le dossier du réseau",,,,"USB 2.0, Wi-Fi(n), LAN",,,,7.3 kg,,,,,Jusqu'à 2400 x 600 ppp,Jusqu'à 600 x 600 ppp,,,,,"Legal (216 x 356 mm), A4 (210 x 297 mm) (maximum)",Letter A (216 x 279 mm)/A4 (210 x 297 mm) (maximum),,,,,Laser (monochrome),,Feuilles,,"Papier uni, papier recyclé",,,,Jusqu'à 20 ppm,Jusqu'à 20 ppm,,Jusqu'à 2000 pages
