id,nom,marque,caracteristiques,prix,Affichage,Ajustements,Alimentation,Alimentation fournie,Ancrable,Appareil d'entrée,Appareils intégrés,Avertissement sur les couleurs de l'image,Batterie,Caractéristiques,Certification Microsoft,Certification du logiciel,Classe énergétique,Clavier numérique,Commandes,Compatibilité,Compatibilité TTA,Compatibilité de la taille de l'écran,Compatibilité ordinateur portable,Configuration requise,Connecteur,Connecteur (deuxième extrémité),Connecteurs d'entrée,Contenu de l'emballage,Contenu recyclé du produit,Conçu pour,Couleur,Courant nominal,Destiné à,Dimension Rack,Dimensions d'ordinateur portable prises en charge,Dispositif de pointage,Dispositifs de sécurité,Débit de transfert de données,Effets sonores,Empreinte carbone,Epaisseur,Facteur de forme,Facteur de forme du casque,Fonction de raccourcis clavier,Fonctionne avec Chromebook,Fonctions,Fonctions supplémentaires,Format,Fourni avec,Gamme de couleurs,Garantie du fabricant,Hauteur (unités de rack),Impédance,Inclinaison,Interface,Interface de montage VESA,Interface de station d'accueil,Interfaces vidéo,Jeu,Lavable,Localisation,Localisation et disposition,Longueur,Longueur du câble,Luminosité,Matière du boîtier,Matériau,Matériau du produit,Microphones fournis,Mode de fonctionnement des appareils électriques,Mode de fonctionnement du microphone,Mode de sortie audio,Multipoint,Nbre de touches,Nombre de boutons,Nombre de touches,Nombre de touches spéciales,Nombre inclus,Normes de conformité,Normes environnementales,Panoramique,Performance,Performances,Pistes de la carte ISO,Pivoter,Pliable,Poids,Poids de la charge max.,Positionnement/montage,Processeur,Profondeur réglable,Programme de ventes par le fabricant,Protection,Protocole de liaison de données,Puissance d'entrée max.,Quantité emballée,Rapport de contraste,Revêtement de l'écran,Récepteur sans fil,Réglages de la position de l'écran,Réseaux,Résolution,Résolution native,Rétroéclairage du clavier,Rétroéclairé,Services inclus,Spécifications audio,Stockage,Style de touches,Suppresseur de bruit actif,Suppression du bruit de microphone,Système d'exploitation,Système d'exploitation requis,Taille,Technologie Adaptive-Sync,Technologie de casque,Technologie de charge rapide,Technologie de connectivité,Technologie de détection de mouvements,Technologie du microphone,Technologie sans fil,Temps de réponse,Tension,Tension requise,Type,Type d'emballage,Type d'interface (bus),Type de Produit,Type de contacts,Type de diaphragme,Type de licence,Type de microphone,Type de panneau,Type de prise,Type de rack,Type de tarification,Utilisation recommandée,Webcam intégrée,Éléments de montage
11841005,HP,HP INC,"Clavier - rétro-éclairé - USB - AZERTY - Français - noir - pour Victus by HP Laptop 16; HP 250 G9; Laptop 14, 15, 17; Pavilion Plus Laptop 14; Pro 290 G9",72.0,,,,,,,,,,,,,,Oui,,,,,,,,,,,,"Victus by HP Laptop 15, 16; HP 250 G9; Elite 600 G9, 800 G9; EliteDesk 800 G6; Laptop 14, 15, 15s, 17; Pavilion Plus Laptop 14; Pro 290 G9",Noir,,,,,,,,,,,,,"Multimédia, volume, profil, contrôle du rétroéclairage, mode de touche de jeu",,,,,,,Garantie de 2 ans,,,,USB,,,,Oui,,,AZERTY Français,,,,,,,,,,,,,,,,,,,,,,,,,1.121 kg,,,,,,Résistant aux éclaboussures,,,,,,,,,,,,5 zones RGB,,,,,,,,,,,,,Filaire,,,,,,,,,,,,,,,,,,,,,
11841003,HyperX,HP INC,Repose-poignet pour clavier - pleine taille - noir,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Noir,,,,,,,,,,,,,,,,,,,,Garantie de 2 ans,,,,,,,,,,Français / France,,,,,,,"Mousse viscoélastique, Cool-Gel",,,,,,,,,,,,,,,,,,,311 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2361620,Clavier sans fil Logitech K270,LOGITECH,Clavier - sans fil - 2.4 GHz - Allemand,39.99,,,,,,,,,,,Compatible with Windows 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Exploration internet, e-mail, volume, lecture/pause",,"Récepteur Logitech Unifying, résistant aux liquides",,,,,Garantie de 3 ans,,,,2.4 GHz,,,,,,,Allemand,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,Récepteur sans fil USB,,,,,,,,,,,,,,,,,,,Sans fil,,,,,,,,,,,,,,,,,,,,,
2411572,Ensemble sans fil Logitech MK330,LOGITECH,Ensemble clavier et souris - sans fil - 2.4 GHz - Français - noir,59.99,,,,,,,,,,"Commutateur de mise sous tension / hors tension, Résolution 1 000 dpi",,,,,,,,,,,,,,,,,Noir,,,,,Souris - optique,,,,,,,,"Veille, changement d'application, poste de travail, e-mail, volume, recherche, touche secret, afficher le bureau, Verrouiller l'ordinateur, lecture/pause, piste précédente, piste suivante, lecteur multimédia",,,,,,,Garantie de 3 ans,,,,2.4 GHz,,,,,,,Français,,,,,,,,,,,,,,3,17,,,,,,,,,,,,,,,,,,,,,,Récepteur sans fil USB,,,,,,,,,,,,,,,,,,,Sans fil,,,,,,,,,,,,,,,,,,,,,
3467362,Clavier tactile sans fil Logitech K400 Plus,LOGITECH,Clavier - sans fil - 2.4 GHz - Français - noir,54.99,,,,,,,,,,,Compatible with Windows 7,,,,,,,,,,,,,,,,Noir,,,,,,,,,,,,,"Touche secret, Boutons de souris, volume -, volume +",,"Récepteur Logitech Unifying, bouton marche/arrêt, pavé tactile intégré",,,,,Garantie de 2 ans,,,,2.4 GHz,,,,,,,Français,,,,,,,,,,,,,,,,,,,,,,,,,390 g,,,,,,,,,,,,Récepteur sans fil USB,,,,,,,,,,,,,,,,,,,Sans fil,,,,,,,,,,,,,,,,,,,,,
9900224,Clavier surface Pro avec Stylet SC French France Comm Black,MICROSOFT,"Clavier - avec rangement pour stylos - avec accéléromètre, pavé tactile, plateau de stockage et de recharge du Surface Slim Pen - rétroéclairé - AZERTY - Français - noir - avec Slim Pen - pour Surface Pro 11, Pro 10, Pro 8, Pro 9.",261.32,,,,,,,"Accéléromètre, pavé tactile, plateau de stockage et de recharge du Surface Slim Pen",,,,,,,,,,,,,,,,,,,"Surface Pro 10 for Business, Pro 8 for Business, Pro 9 for Business, Pro X for Business",Noir,,,,,,,,,,,,,"Copilot, coupure du microphone, écran de découpage, raccourcis Windows, luminosité, multimédia",,,,,Slim Pen,,1 an de garantie,,,,,,,,,,,AZERTY Français,,,,,,,,,,,,,,,,,,,,,,,,,281 g,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8426920,Logitech MX Keys S,LOGITECH,Clavier - rétroéclairé - sans fil - Bluetooth LE - AZERTY - Français - commutateur : commutateurs à clé à ciseaux - graphite,119.99,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,Graphite,,,,,,,,,,,,,"Easy-Switch, PerfectStroke, interrupteur marche/arrêt, multimédia, contrôle du rétroéclairage, dictée, Emoji, coupure d'écran",,,,,,,Garantie de 2 ans,,,,Bluetooth LE,,,,,,,AZERTY Français,,,,,,,,,,,,,,,,,,,,,,,,,810 g,,,,,,,,,,,,Récepteur USB Logitech Logi Bolt,,,,,,Oui,,,,,,,,,,,,,Sans fil,,,,,,,,,,,Commutateurs à clé à ciseaux,,,,,,,,,,
11841019,HP,HP INC,"Souris - optique - 6 boutons - filaire - USB 2.0 - pour Victus by HP Laptop 16; Laptop 14, 15, 17; Pavilion x360 Laptop; Pro 290 G9",72.0,,,,,,,,,,"Micro interrupteur TTC Golden étanche à la poussière, base en polytétrafluoroéthylène (PTFE), Capteur optique Pixart 3335, LED couleur RGB, conception de coque ultralégère",,,,,,,,,,,,,,,,"Victus by HP Laptop 15, 16; HP 250 G9; Elite 800 G9; EliteDesk 800 G6; Laptop 14, 15, 15s, 17; Pavilion Plus Laptop 14; Pavilion x360 Laptop; Pro 290 G9",,,,,,,,,,,,,,,,,,,,,Garantie de 2 ans,,,,,,,,,,,,,1.8 m,,,,,,,,,,,6,,,,,,,,"Commutation de sensibilité en temps réel 400/800/1 600/3 200 ppp, 60 millions de clics, temps de réponse : 1 000 Hz",,,,59 g,,,,,,,,,,,,,,,16000 dpi,,,,,,,,,,,,,,,,Filaire - USB 2.0,Optique,,,,,,,,,,,,,,,,,,,,
7754377,Dell KB500,DELL,Clavier - sans fil - 2.4 GHz - AZERTY - Français - noir - avec 3 years NBD Advance Exchange,34.75,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,Noir,,,,,,,,,,,,,,,,,,,,,,,,2.4 GHz,,,,,,,AZERTY Français,,,,,,,,,,,,,,,,,,,,,,,,,400 g,,,,,,,,,,,,Récepteur sans fil USB,,,,,,,3 years NBD Advance Exchange,,,,,,,,,,,,Sans fil,,,,,,,,,,,,,,,,,,,,,
4881394,HP Pavilion 300 Keyboard,HP INC,HP Pavilion Wired Keyboard 300 FR,37.49,,,,,,,,,,,,,,,,,,,,,,,,,,,Noir de jais,,,,,,,,,,,,,,,,,,,,,,,,USB,,,,,,,Français,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Filaire,,,,,,,,,,,,,,,,,,,,,
