id,nom,marque,caracteristiques,prix,Accessoires compris,Améliorations d'image,Audio,Avertissement sur les couleurs de l'image,Bruitages,Caméra,Capacité de stockage,Caractéristiques,Cartes mémoire prises en charge,Certification Microsoft,Chaînage en marguerites,Classe de diagonale,Classe énergétique,Code QR du label énergétique URL,Commutateur clavier-écran-souris,Compatible HDR,Connecteurs d'entrée,Connectivité,Consommation d'énergie annuelle,Consommation en fonctionnement,Consommation électrique en mode marche,Consommation électrique en veille,Contrôleur graphique,Conçu pour,Couleur,Câbles inclus,Densité par pixel,Dimensions (LxPxH) - avec base,Dimensions (LxPxH) - avec socle (orientation paysage),Dimensions (LxPxH) - avec support,"Dimensions (LxPxH) - avec support (orientation paysage, position la plus haute)",Dimensions (LxPxH) - avec support (position la plus basse),Dimensions (LxPxH) - avec support (position la plus haute),Dimensions (LxPxH) - sans base,Dimensions (LxPxH) - sans support,Dimensions (LxPxH) - unité d'affichage,Disque dur,Empreinte carbone,Entrée audio,Ethernet intégré,Facteur de forme,Fonctions commerciales,Format HDR,Format d'affichage,Format de l'image,Formats vidéo d'entrée,Fourni avec,Gamme de couleurs,Garantie du fabricant,Haut-parleurs,Interface PC,Interface vidéo,Interfaces,Jeu,Lecteur de carte,Localisation,Logiciel(s) inclus,Luminosité,Matériaux de terres rares,Modes vidéo,Moniteur,Nombre d'écrans,Nombre de ports HDMI,Normes de conformité,Normes environnementales,Plate-forme,Plateforme,Poids,Prise en charge des couleurs,Processeur,Programme de ventes par le fabricant,RAM,Rapport de contraste,Revêtement de l'écran,Réglages de la position de l'écran,Réseaux,Résolution,Résolution maximale,Résolution native,Services de diffusion en streaming sur Internet,Services inclus,Stockage optique,Système d'exploitation fourni,Système de haut-parleurs,Taille d'écran recommandée,Taille de la diagonale,Taux d'image et technologie d'amélioration,Taux de trame (max),Technologie,Technologie 24p,Technologie Adaptive-Sync,Technologie HDR,Technologie de connectivité,Technologie de rétroéclairage LCD,Temps de réponse,Tension,Tuner TV numérique,Tuner de télévision,Type,Type de Produit,Type de panneau,Type de tarification,USB,Unité d'affichage pour mur vidéo,Utilisation commerciale,Utilisation recommandée,Webcam intégrée,Écran incurvé
7467528,AOC Gaming 24G2SPAE/BK,AOC,"G2 Series - écran LED - jeux - 23.8"" (24"" visualisable) - 1920 x 1080 Full HD (1080p) @ 165 Hz - IPS - 300 cd/m² - 1000:1 - 1 ms - 2xHDMI, VGA, DisplayPort - haut-parleurs - noir, rouge",144.58,,,,,,,,,,,,,Classe E,Https://eprel.ec.europa.eu/qr/1237350,,,"2xHDMI, VGA, DisplayPort",,,,,,,,"Noir, rouge",,,,,,,,,,,,,,,,16:9,,,,,,,,Garantie de 3 ans,,,,,Oui,,,,300 cd/m²,,,,,,"FCC, RoHS, TUV Bauart, EAC, ISO 9241-307 Class 1",,,,,"16,7 millions de couleurs",,,,1000:1 / 80000000:1 (dynamique),,Inclinaison,,,,Full HD (1080p) 1920 x 1080 à 165 Hz,,,,,,,,,,,,,,,,"4 ms (gris à gris), 1 ms (MPRT)",,,,,,IPS,,,,,,,
7467530,AOC Gaming 27G2SPAE/BK,AOC,"G2 Series - écran LED - jeux - 27"" - 1920 x 1080 Full HD (1080p) @ 165 Hz - IPS - 250 cd/m² - 1000:1 - 1 ms - 2xHDMI, VGA, DisplayPort - haut-parleurs - noir, rouge",150.79,,,,,,,,,,,,,,,,,"2xHDMI, VGA, DisplayPort",,,,,,,,"Noir, rouge",,,,,,,,,,,,,,,,16:9,,,,,,,,Garantie de 3 ans,,,,,Oui,,,,250 cd/m²,,,,,,"FCC, RoHS, TUV Bauart, EAC, ISO 9241-307 Class 1",,,,,"16,7 millions de couleurs",,,,1000:1 / 80000000:1 (dynamique),,Inclinaison,,,,Full HD (1080p) 1920 x 1080 à 165 Hz,,,,,,,,,,,,,,,,"4 ms (gris à gris), 1 ms (MPRT)",,,,,,IPS,,,,,,,
7467582,NEC MultiSync EA242WU,NEC,"Écran LED - 24"" - 1920 x 1200 @ 60 Hz - IPS - 300 cd/m² - 1000:1 - 6 ms - HDMI, DisplayPort, USB-C - haut-parleurs - blanc",395.0,,,,,,,,Concentrateur USB 3.1,,,,,Classe D,,,,"HDMI, DisplayPort, USB-C",,,,,,,,Blanc,,0.27 mm,,,53.1 cm x 25 cm x 36.5 cm,,,,,,,,,,,16:10,,,,,,,,Garantie de 3 ans,,,,,,,,,300 cd/m²,,,,,,"Plug and Play, VESA DDC 2 B, VESA DDCi","TCO Certified Edge Displays, TCO Certified Displays 9, ENERGY STAR",,,6.7 kg,"16,8 millions de couleurs",,,,1000:1 / 5000:1 (dynamique),,"Hauteur, pivot (rotation), pivotant, inclinaison",,,,1920 x 1200 à 60 Hz,,,,,,,,,,,,,,,,6 ms,(50/60 Hz),,,,,IPS,,,,,,,
7467583,MultiSync EA242WU Black,NEC,"Écran LED - 24"" - 1920 x 1200 @ 60 Hz - IPS - 300 cd/m² - 1000:1 - 6 ms - HDMI, DisplayPort, USB-C - haut-parleurs - noir",395.0,,,,,,,,Concentrateur USB 3.1,,,,,Classe D,,,,"HDMI, DisplayPort, USB-C",,,,,,,,Noir,,0.27 mm,,,53.1 cm x 25 cm x 36.5 cm,,,,,,,,,,,16:10,,,,,,,,Garantie de 3 ans,,,,,,,,,300 cd/m²,,,,,,"Plug and Play, VESA DDC 2 B, VESA DDCi","TCO Certified Edge Displays, TCO Certified Displays 9, ENERGY STAR",,,6.7 kg,"16,8 millions de couleurs",,,,1000:1 / 5000:1 (dynamique),,"Hauteur, pivot (rotation), pivotant, inclinaison",,,,1920 x 1200 à 60 Hz,,,,,,,,,,,,,,,,6 ms,(50/60 Hz),,,,,IPS,,,,,,,
5067502,OMEN X by HP Emperium 65 Big Format Gaming Display,HP INC,"Écran LED - jeux - 64.5"" - fixe - 3840 x 2160 4K UHD (2160p) @ 144 Hz - MVA - 1000 cd/m² - 4000:1 - DisplayHDR 1000 - 4 ms - 3xHDMI, DisplayPort - barre de son - noir ombré",3439.2,,,,,,,,"Adaptateur réseau Gigabit Ethernet, adaptateur réseau 802.11a/b/g/n/ac, NVIDIA SHIELD",,,,,Classe B,,,DisplayHDR 1000,"3xHDMI, DisplayPort",,257 kWh,,176 Watt,,,,Noir ombré,,0.372 mm,,,,,,,,,,,,,,16:9,,,,,,,95% DCI-P3,Garantie de 2 ans,,,,,Oui,,Anglais / Europe,,1000 cd/m²,,,,,,"CSA, UL, TUV, TUV GS, VCCI, C-Tick, BSMI, NOM, WHQL, CB, CCC, PSB, FCC, ISO 9241-307, KCC, WEEE, ICES, cTUVus, MEPS, TUV Bauart, E-Standby, KC, CEL, EAC, ISC, faible halogène, TUV LBL",,,,36.1 kg,,,,,4000:1,Anti-éblouissement,,,,,4K UHD (2160p) 3840 x 2160 à 144 Hz,,,,,,,,,,,,,,,,"14 ms (gris à gris), 4 ms (gris à gris avec Overdrive)",CA 120/230 V,,,,,MVA,,,,,,,
8302756,LG UltraWide 49WQ95C-W,LG ELECTRO,"W - Écran LED - incurvé - 49"" - 5120 x 1440 UltraWide Dual QHD @ 144 Hz - Nano IPS - 400 cd/m² - 1000:1 - DisplayHDR 400 - 5 ms - 2xHDMI, DisplayPort, USB-C - haut-parleurs",1364.99,,,,,,,,"Commutateur KVM, Hub USB, PD USB 90 Watt",,,,,Classe F,,,HDR10 / DisplayHDR 400,"2xHDMI, DisplayPort, USB-C",,,,,,,,,,0.234 mm,,,121.51 cm x 28.1 cm x 58.58 cm,,,,,,,,,,,32:9,,,,,,,98% DCI-P3 (CIE 1976),,,,,,,,,,400 cd/m²,,,,,,TUV Rheinland,,,,14.7 kg,"16,7 millions de couleurs",,,,1000:1,,"Inclinaison, hauteur, pivotant",,,,UltraWide Dual QHD 5120 x 1440 à 144 Hz,,,,,,,,,,,,"AMD FreeSync Premium Pro, NVIDIA G-SYNC Compatible",,,,5 ms (gris-à-gris),CA 100-240 V (50/60 Hz),,,,,Nano IPS,,,,,,,Oui
8302372,Lenovo ThinkCentre Tiny-in-One 24 Gen 5,LENOVO,"in-One 24 Gen 5 - Écran LED - 24"" (23.8"" visualisable) - 1920 x 1080 Full HD (1080p) @ 60 Hz - IPS - 250 cd/m² - 1000:1 - 4 ms - HDMI, DisplayPort - haut-parleurs - noir corbeau",224.41,,,,,,,,"Commutateur KVM, webcam 1080p, concentrateur à USB 3.2 de génération 1",,,,,Classe D,Https://eprel.ec.europa.eu/qr/1541544,,,"HDMI, DisplayPort",,,,,,,,Noir corbeau,,0.275 mm,,,,,,53.98 cm x 20.76 cm x 53.96 cm,,,,,,,,16:9,,,,,,,99% sRGB,Garantie de 3 ans,,,,,,,Anglais / Europe,,250 cd/m²,,,,,,"CCC, RoHS 2011/65/EU, TUV Rheinland Eye Comfort Certification, China Energy standard Tier 1, TUV Rheinland Low Blue Light (Hardware Solution), TUV Rheinland Eyesafe 2.0 Display","TCO Certified Edge Displays, TCO Certified Displays 9, ENERGY STAR EPEAT Gold",,,6 kg,"16,7 millions de couleurs",,,,1000:1 / 3000000:1 (dynamique),Anti-éblouissement,"Hauteur, pivot (rotation), pivotant, inclinaison",,,,Full HD (1080p) 1920 x 1080 à 60 Hz,,,,,,,,,,,,,,,,"4 ms (mode extrême), 6 ms (typique)",CA 100-240 V (50/60 Hz),,,,,IPS,,,,,,,
8315863,LENOVO,LENOVO,"in-One 22 Gen 5 - Écran LED - 22"" (21.5"" visualisable) - 1920 x 1080 Full HD (1080p) @ 60 Hz - IPS - 250 cd/m² - 1000:1 - 4 ms - HDMI, DisplayPort - haut-parleurs - noir",200.88,,,,,,,,"Commutateur KVM, webcam 1080p, concentrateur à USB 3.2 de génération 1",,,,,Classe D,Https://eprel.ec.europa.eu/qr/1528899,,,"HDMI, DisplayPort",,,,,,,,Noir,,0.248 mm,,,,,,48.93 cm x 20.76 cm x 51.23 cm,,,,,,Microphone,,16:9,,,,,,,99% sRGB,Garantie de 3 ans,,,,,,,Anglais / Europe,,250 cd/m²,,,,,,"RoHS, TUV Rheinland Eye Comfort Certification, TUV Rheinland Low Blue Light (Hardware Solution), Eyesafe Certified 2.0",ENERGY STAR EPEAT Gold,,,5.5 kg,"16,7 millions de couleurs",,,,1000:1,Anti-éblouissement,"Hauteur, pivot (rotation), pivotant, inclinaison",,,,Full HD (1080p) 1920 x 1080 à 60 Hz,,,,,,,,,,,,,,,,"4 ms (extrême), 6 ms (typique)",CA 100-240 V (50/60 Hz),,,,,IPS,,,,,,1080p,
7313652,Lenovo ThinkVision P27u-20,LENOVO,"20 - Écran LED - 27"" - 3840 x 2160 4K - IPS - 450 cd/m² - 1000:1 - 4 ms - Thunderbolt 4, 2xHDMI, DisplayPort - haut-parleurs - noir corbeau",1201.0,,,,,,,,"Commutateur KVM, adaptateur réseau Gigabit Ethernet, concentrateur à USB 3.2 de génération 1, PD USB 27 Watt",,,,,Classe F,Https://eprel.ec.europa.eu/qr/701048,,,"Thunderbolt 4, 2xHDMI, DisplayPort",,,,,,,,Noir corbeau,,0.1554 mm,,,,,,,,,,,,,Oui,16:9,,,,,,,"100% BT.709 (CIE 1976), 100% sRGB (CIE 1976), 83.7% BT.2020 (CIE 1976), 99.1% DCI-P3 (CIE 1976), 99.5% Adobe RGB (CIE 1931)",Garantie de 3 ans,,,,,,,Anglais / Europe,,450 cd/m²,,,,,,"CCC, DDC/CI, CEE Tier 1, RoHS 2011/65/EU, TUV Rheinland Eye Comfort Certification","TCO Certified Edge Displays, TCO Certified Displays 9, ENERGY STAR EPEAT Gold",,,8 kg,"1,07 milliards de couleurs",,,,1000:1 / 3000000:1 (dynamique),Anti-éblouissement,"Hauteur, pivot (rotation), pivotant, inclinaison",,,,4K 3840 x 2160,,,,,,,,,,,,,,,,"4 ms (extrême), 6 ms (normal)",CA 100-240 V (50/60 Hz),,,,,IPS,,,,,,,
7315699,Philips 24E1N3300A,PHILIPSMMD,"3000 Series - écran LED - 24"" (23.8"" visualisable) - 1920 x 1080 Full HD (1080p) @ 75 Hz - IPS - 300 cd/m² - 1000:1 - 1 ms - HDMI, USB-C - haut-parleurs - noir texturé",181.21,,,,,,,,"Hub USB, PD USB 65 Watt",,,,,Classe F,Https://eprel.ec.europa.eu/qr/1082769,,,"HDMI, USB-C",,,,,,,,Noir texturé,,0.2745 mm,,,54 cm x 18.3 cm x 41.7 cm,,,,,,,,,,,16:9,,,,,,,"120.9% sRGB (CIE 1931), 104.8% NTSC (CIE 1976)",Garantie de 3 ans,,,,,,,,,300 cd/m²,,,,,,"Plug and Play, homologué FFC de classe B, ICES-003, CB, DDC/CI, RoHS, ISO 9241-307, TUV Bauart, CU-EAC, sans mercure, EAEU RoHS",,,,4.12 kg,"16,7 millions de couleurs",,,,1000:1,"Anti-éblouissement, 3H Hard Coating, Diffusion globale de 25 %",Inclinaison,,,,Full HD (1080p) 1920 x 1080 à 75 Hz,,,,,,,,,,,,AMD Adaptive-Sync,,,,"4 ms (gris à gris), 1 ms (MPRT)",CA 100-240 V (50/60 Hz),,,,,IPS,,,,,,,
