id,nom,marque,caracteristiques,prix,Affichage,Appareil d'entrée,Batterie,Clavier,Clavier numérique,Copilot+ PC,Couleur,Débit d'absorption spécifique (DAS),Empreinte carbone,Fonctions,Fourni avec,Fournisseur de services,Garantie du fabricant,Graphique,Indice de réparabilité,Jeu,Localisation,Microsoft Copilot,Mémoire,Mémoire vidéo,Normes environnementales,Poids,Processeur,Programme de ventes par le fabricant,Prêt pour la réalité virtuelle,Réseaux,Rétroéclairage du clavier,Services inclus,Stockage,Système d'exploitation,Sécurité,Technologie de Plate-forme,Transmission à large bande sans fil,Type de Produit,Type de tarification,Unité de traitement neural (NPU),Webcam intégrée
11928574,MSI Crosshair 18 HX AI A2XWGKG-001FR,MSI,"001FR - Intel Core Ultra 7 - 255HX / jusqu'à 5.2 GHz - Win 11 Pro - GeForce RTX 5070 - 32 Go RAM - 1 To SSD NVMe - 18"" 2560 x 1600 (QHD+) @ 240 Hz - Gigabit Ethernet - Wi-Fi 6E, Bluetooth - noir",2165.83,"18"" 2560 x 1600 / QHD+ @ 240 Hz",,4 cellules,,Oui,,Noir,,,,,,Garantie limitée - 3 ans,NVIDIA GeForce RTX 5070 / Intel Graphics - jusqu'à 8 TOPS,,Oui,,Yes,32 Go DDR5 (2 x 16 Go),8 Go GDDR7 SDRAM,,3.1 kg,Intel Core Ultra 7 (Série 2) - 255HX jusqu'à 5.2 GHz / 30 Mo Cache,,,"802.11a/b/g/n/ac/ax (Wi-Fi 6E), Bluetooth 5.3, Gigabit Ethernet",Oui (RGB),,1 To SSD - NVMe,Win 11 Pro,Firmware Trusted Platform Module (TPM 2.0) Security Chip,,,Ordinateur portable,,Intel AI Boost - jusqu'à 13 TOPS,Oui
11450638,MSI Modern 14 H D13MG-086FR,MSI,"086FR - Conception de charnière à 180 degrés - Intel Core i9 - 13900H / jusqu'à 5.4 GHz - Win 11 Home - Carte graphique Intel Iris Xe - 16 Go RAM - 1 To SSD NVMe - 14"" 1920 x 1200 - Gigabit Ethernet - Wi-Fi 6E, Bluetooth - noir",957.5,"14"" 1920 x 1200 / WUXGA",,3 cellules,,,,Noir,,,,,,Garantie limitée - 2 ans,Carte graphique Intel Iris Xe,8 (sur 10),,,,16 Go DDR4 (2 x 8 Go),,ENERGY STAR,1.6 kg,Intel Core i9 (13ème génération) - 13900H jusqu'à 5.4 GHz / 24 Mo Cache,,,"802.11a/b/g/n/ac/ax (Wi-Fi 6E), Bluetooth 5.3, Gigabit Ethernet",Oui (blanc),,1 To SSD - NVMe,Win 11 Home,Firmware Trusted Platform Module (TPM 2.0) Security Chip,,,Ordinateur portable - conception de charnière à 180 degrés,,,Oui
11552486,MSI PrestigePro 16 AI B2HVEG 259FR,MSI,"Intel Core Ultra 9 - 285H / jusqu'à 5.4 GHz - Win 11 Pro for High-End Devices - GF RTX 4050 - 32 Go RAM - 1 To SSD NVMe - 16"" OLED 3840 x 2400 (UHD+) - Gigabit Ethernet - Wi-Fi 7, Bluetooth - gris stellaire - clavier : Français",2299.0,"16"" OLED 3840 x 2400 / UHD+ @ 60 Hz",,4 cellules,Français,Oui,,Gris stellaire,,,Détecteur de lumière ambiante,,,Garantie limitée - 3 ans,NVIDIA GeForce RTX 4050 / Intel Arc Graphics,7.7 (sur 10),,,,32 Go LPDDR5X,6 Go GDDR6 SDRAM,,1.6 kg,"Intel Core Ultra 9 (Série 2) - 285H / 2.9 GHz, jusqu'à 5.4 GHz / 24 Mo Cache",,,"802.11a/b/g/n/ac/ax/be, Bluetooth 5.4, Gigabit Ethernet",Oui (blanc),,1 To SSD - NVMe,Win 11 Pro for High-End Devices,"Trusted Platform Module (TPM 2.0) and firmware (TPM), lecteur d'empreintes digitales",,,Ordinateur portable,,Intel AI Boost - jusqu'à 13 TOPS,Oui
11552487,MSI Modern 13 F1MG-041FR,MSI,"041FR - Conception de charnière à 180 degrés - Intel Core 5 - 120U / jusqu'à 5 GHz - Win 11 Pro - Intel Graphics - 16 Go RAM - 512 Go SSD NVMe - 13.3"" 1920 x 1080 (Full HD) - Gigabit Ethernet - Bluetooth, Wi-Fi 6E - gris platine - clavier : Français",799.0,"13.3"" 1920 x 1080 / Full HD @ 60 Hz",,3 cellules,Français,,,Gris platine,,,,,,Garantie limitée - 3 ans,Intel Graphics,,,,,16 Go DDR4 (2 x 8 Go),,,1.45 kg,"Intel Core 5 (Série 1) - 120U / 1.4 GHz, jusqu'à 5 GHz / 12 Mo Cache",,,"Bluetooth 5.3, 802.11a/b/g/n/ac/ax (Wi-Fi 6E), Gigabit Ethernet",Oui (blanc),,512 Go SSD - NVMe,Win 11 Pro,,,,Ordinateur portable - conception de charnière à 180 degrés,,,Oui
11552492,MSI VenturePro 16 A2RWFG-001FR,MSI,"001FR - Conception de charnière à 180 degrés - Intel Core 7 - 240H / jusqu'à 5.2 GHz - Win 11 Home Plus - GeForce RTX 5060 - 16 Go RAM - 512 Go SSD NVMe - 16"" OLED 2048 x 1280 (2K) @ 120 Hz - Gigabit Ethernet - Wi-Fi 6E, Bluetooth - gris solide - clavier : Français",1799.0,"16"" OLED 2048 x 1280 / 2K @ 120 Hz",,4 cellules,Français,Oui,,Gris solide,,,,,,Garantie limitée - 2 ans,NVIDIA GeForce RTX 5060 / Intel Graphics,,,,Yes,16 Go DDR5 (2 x 8 Go),8 Go GDDR7 SDRAM,,1.9 kg,"Intel Core 7 (Série 2) - 240H / 2.5 GHz, jusqu'à 5.2 GHz / 24 Mo Cache",,,"802.11a/b/g/n/ac/ax (Wi-Fi 6E), Bluetooth 5.3, Gigabit Ethernet",Oui (blanc),,512 Go SSD - NVMe,Win 11 Home Plus,Firmware Trusted Platform Module (TPM 2.0) Security Chip,,,Ordinateur portable - conception de charnière à 180 degrés,,,Oui
11928544,MSI Katana 15 HX B14WFK-475FR,MSI,"475FR - Intel Core i9 - i9-14900HX / jusqu'à 5.8 GHz - Win 11 Home - GeForce RTX 5060 - 32 Go RAM - 1 To SSD NVMe - 15.6"" 2560 x 1440 (QHD) @ 165 Hz - Gigabit Ethernet - Wi-Fi 6E, Bluetooth - noir",1582.5,"15.6"" 2560 x 1440 / QHD @ 165 Hz",,4 cellules,,Oui,,Noir,,,,,,Garantie limitée - 2 ans,NVIDIA GeForce RTX 5060 / Intel UHD Graphics,,Oui,,Yes,32 Go DDR5 (2 x 16 Go),8 Go GDDR7 SDRAM,,2.4 kg,Intel Core i9 (14ème génération) - i9-14900HX jusqu'à 5.8 GHz / 36 Mo Cache,,,"802.11a/b/g/n/ac/ax (Wi-Fi 6E), Bluetooth 5.3, Gigabit Ethernet",Oui (RGB),,1 To SSD - NVMe,Win 11 Home,Firmware Trusted Platform Module (TPM 2.0) Security Chip,,,Ordinateur portable,,,Oui
11554014,MSI Modern 15 H AI C2HMG-248FR,MSI,"248FR - Conception de charnière à 180 degrés - Intel Core Ultra 7 - 255H / jusqu'à 5.1 GHz - Win 11 Pro - Arc Graphics 140T - 16 Go RAM - 512 Go SSD NVMe - 15.6"" 1920 x 1080 (Full HD) - Wi-Fi 6E, Bluetooth - noir classique - clavier : Français",1099.0,"15.6"" 1920 x 1080 / Full HD @ 60 Hz",,3 cellules,Français,Oui,,Noir classique,,,,,,Garantie limitée - 3 ans,Intel Arc Graphics 140T - jusqu'à 74 TOPS,,,,,16 Go DDR5 (2 x 8 Go),,,1.9 kg,"Intel Core Ultra 7 (Série 2) - 255H / 2 GHz, jusqu'à 5.1 GHz / 24 Mo Cache",,,"802.11a/b/g/n/ac/ax (Wi-Fi 6E), Bluetooth 5.3",Oui (blanc),,512 Go SSD - NVMe,Win 11 Pro,Firmware Trusted Platform Module (TPM 2.0) Security Chip,,,Ordinateur portable - AI Ready - conception de charnière à 180 degrés,,Intel AI Boost - jusqu'à 13 TOPS,Oui
11552480,MSI Modern 15 F13MG-608FR,MSI,"608FR - Conception de charnière à 180 degrés - Intel Core i5 - i5-1334U / jusqu'à 4.6 GHz - Win 11 Pro - Carte graphique Intel Iris Xe - 16 Go RAM - 512 Go SSD NVMe - 15.6"" 1920 x 1080 (Full HD) - Gigabit Ethernet - Wi-Fi 6E, Bluetooth - gris platine - clavier : Français",699.0,"15.6"" 1920 x 1080 / Full HD @ 60 Hz",,3 cellules,Français,Oui,,Gris platine,,,,,,Garantie limitée - 3 ans,Carte graphique Intel Iris Xe,8 (sur 10),,,Yes,16 Go DDR4 (2 x 8 Go),,ENERGY STAR,1.7 kg,"Intel Core i5 (13ème génération) - i5-1334U / 1.3 GHz, jusqu'à 4.6 GHz / 12 Mo Cache",,,"802.11a/b/g/n/ac/ax (Wi-Fi 6E), Bluetooth 5.3, Gigabit Ethernet",Oui (blanc),,512 Go SSD - NVMe,Win 11 Pro,Firmware Trusted Platform Module (fTPM 2.0),,,Ordinateur portable - conception de charnière à 180 degrés,,,Oui
11854496,MSI Vector 16 HX AI A2XWHG-087FR,MSI,"087FR - Intel Core Ultra 7 - 255HX / jusqu'à 5.2 GHz - Win 11 Home - GeForce RTX 5070 Ti - 16 Go RAM - 1 To SSD NVMe - 16"" 2560 x 1600 (QHD+) @ 240 Hz - 2.5 Gigabit Ethernet - Wi-Fi 6E, Bluetooth - gris cosmos",2249.17,"16"" 2560 x 1600 / QHD+ @ 240 Hz",,4 cellules,,Oui,,Gris cosmos,,,,,,Garantie limitée - 2 ans,NVIDIA GeForce RTX 5070 Ti / Intel Graphics - jusqu'à 8 TOPS,,Oui,,Yes,16 Go DDR5 (2 x 8 Go),12 Go GDDR7 SDRAM,,2.7 kg,Intel Core Ultra 7 (Série 2) - 255HX jusqu'à 5.2 GHz,,,"802.11a/b/g/n/ac/ax (Wi-Fi 6E), Bluetooth 5.3, 2.5 Gigabit Ethernet",Oui (RGB),,1 To SSD - NVMe,Win 11 Home,Firmware Trusted Platform Module (TPM 2.0) Security Chip,,,Ordinateur portable,,Intel AI Boost - jusqu'à 13 TOPS,Oui
11785232,Lenovo ThinkPad P16s Gen 4 21QR,LENOVO,"Conception de charnière à 180 degrés - AMD Ryzen AI 7 PRO - 350 / jusqu'à 5 GHz - AMD PRO - Win 11 Pro - Radeon 860M - 32 Go RAM - 1 To SSD TCG Opal Encryption 2, NVMe, Performance - 16"" IPS 1920 x 1200 - Gigabit Ethernet - Wi-Fi 7, Bluetooth - noir - clavier : Français - avec 1 an d'assistance Lenovo Premier, compensation ",1470.59,"16"" 1920 x 1200 / WUXGA","TrackPoint, UltraNav",,Français,Oui,Yes,Noir,,192 kg d'émissions de carbone,,,,Garantie de base - 3 ans - enlèvement et retour ¦ Garantie limitée - batterie - 1 an ¦ Garantie étendue - 1 an - sur site - temps de réponse : jour ouvré suivant,AMD Radeon 860M,,,Langue : français / région : France,Yes,32 Go DDR5 (2 x 16 Go),,"TCO Certifié, génération 10, pour ordinateurs portables, ENERGY STAR EPEAT Gold",1.71 kg,"AMD Ryzen AI 7 PRO 350 / 2 GHz, jusqu'à 5 GHz / 16 Mo Cache",Lenovo TopSeller,,"802.11a/b/g/n/ac/ax/be, Bluetooth 5.4, Gigabit Ethernet",Oui,"1 an d'assistance Lenovo Premier, compensation des émissions de CO2 de 0,5 tonne (2ème génération)","1 To SSD - TCG Opal Encryption 2, NVMe, Performance",Win 11 Pro - français,"Microsoft Pluton Trusted Platform Module (TPM 2.0) Security Chip, lecteur d'empreintes digitales, lecteur de carte à puce",AMD PRO,,Ordinateur portable - conception de charnière à 180 degrés,,AMD Ryzen AI - jusqu'à 50 TOPS,Oui
