id,nom,marque,caracteristiques,prix,Affichage,Appareil d'entrée,Batterie,Clavier,Clavier numérique,Copilot+ PC,Couleur,Débit d'absorption spécifique (DAS),Empreinte carbone,Fonctions,Fourni avec,Fournisseur de services,Garantie du fabricant,Graphique,Indice de réparabilité,Jeu,Localisation,Microsoft Copilot,Mémoire,Mémoire vidéo,Normes environnementales,Poids,Processeur,Programme de ventes par le fabricant,Prêt pour la réalité virtuelle,Réseaux,Rétroéclairage du clavier,Services inclus,Stockage,Système d'exploitation,Sécurité,Technologie de Plate-forme,Transmission à large bande sans fil,Type de Produit,Type de tarification,Unité de traitement neural (NPU),Webcam intégrée
11785233,LENOVO,LENOVO,"Conception de charnière à 180 degrés - AMD Ryzen AI 7 PRO - 350 / jusqu'à 5 GHz - AMD PRO - Win 11 Pro - Radeon 860M - 16 Go RAM - 512 Go SSD TCG Opal Encryption 2, NVMe, Performance - 16"" IPS 1920 x 1200 - Gigabit Ethernet - Wi-Fi 7, Bluetooth - noir - clavier : Français - avec 1 an d'assistance Lenovo Premier, compensatio",1364.71,"16"" 1920 x 1200 / WUXGA",,,Français,Oui,Yes,Noir,,,,,,Garantie de base - 3 ans - enlèvement et retour ¦ Garantie limitée - batterie - 1 an ¦ Garantie de base - batterie - 1 an ¦ Garantie étendue - 1 an - sur site - temps de réponse : jour ouvré suivant,AMD Radeon 860M,,,Langue : français / région : France,,16 Go DDR5 (1 x 16 GB),,"TCO Certifié, génération 10, pour ordinateurs portables, ENERGY STAR EPEAT Gold",1.71 kg,AMD Ryzen AI 7 PRO 350 jusqu'à 5 GHz / 16 Mo Cache,Lenovo TopSeller,,"802.11a/b/g/n/ac/ax/be, Bluetooth 5.4, Gigabit Ethernet",Oui,"1 an d'assistance Lenovo Premier, compensation des émissions de CO2 de 0,5 tonne (2ème génération)","512 Go SSD - TCG Opal Encryption 2, NVMe, Performance",Win 11 Pro - français,"Microsoft Pluton Trusted Platform Module (TPM 2.0) Security Chip, lecteur d'empreintes digitales, lecteur de carte à puce",AMD PRO,,Ordinateur portable - conception de charnière à 180 degrés,,AMD Ryzen AI - jusqu'à 50 TOPS,Oui
11907453,Dell Pro Max 16 MC16250,DELL,"Intel Core Ultra 7 - 265H / jusqu'à 5.3 GHz - vPro Enterprise - Win 11 Pro - RTX PRO 1000 Blackwell - 64 Go RAM - 1 To SSD NVMe, Performance, SED - 16"" 1920 x 1200 (Full HD Plus) - Gigabit Ethernet - Wi-Fi 7 - 5G NR - magnétite - BTP - avec 3 ans de base sur site",2285.55,"16"" 1920 x 1200 / Full HD Plus @ 60 Hz - 142 ppi",,6 cellules,,Oui,,Magnétite,0.91 W/kg (body) ¦ 0.91 W/kg (membre),118 kg d'émissions de carbone,"Accéléromètre, capteur à effet Hall",,Service non inclus,,NVIDIA RTX PRO 1000 Blackwell - jusqu'à 75 TOPS,8.5 (sur 10),,,,64 Go DDR5 (2 x 32 GB),8 Go GDDR7 SDRAM,"EPEAT Gold, EPEAT Climate+",2.1 kg,"Intel Core Ultra 7 (Série 2) - 265H / 2.2 GHz, jusqu'à 5.3 GHz / 24 Mo Cache",Dell Smart Selection,,"Bluetooth, 802.11a/b/g/n/ac/ax/be, Gigabit Ethernet",Oui,3 ans de base sur site,"1 To SSD - NVMe, Performance, SED",Win 11 Pro,"Discrete Trusted Platform Module (TPM 2.0) Security Chip, lecteur d'empreintes digitales, lecteur de carte à puce",Intel vPro Enterprise,5G 5G NR,Ordinateur portable - AI Ready,Build To Plan (BTP),Intel AI Boost - jusqu'à 13 TOPS,Oui
11907468,Dell Pro Max 16,DELL,"Intel Core Ultra 7 - 265H / jusqu'à 5.3 GHz - vPro Enterprise - Win 11 Pro - Arc Graphics 140T - 32 Go RAM - 1 To SSD SED, NVMe - 16"" 1920 x 1200 (Full HD Plus) - Gigabit Ethernet - Wi-Fi 7 - magnétite - BTP - avec 3 ans de base sur site",1551.15,"16"" 1920 x 1200 / Full HD Plus @ 60 Hz - 142 ppi",,4 cellules,,Oui,,Magnétite,0.91 W/kg (body) ¦ 0.91 W/kg (membre),118 kg d'émissions de carbone,"Accéléromètre, capteur à effet Hall",,,,Intel Arc Graphics 140T - jusqu'à 75 TOPS,8.5 (sur 10),,,,32 Go DDR5 (2 x 16 Go),,"EPEAT Gold, EPEAT Climate+",2.1 kg,"Intel Core Ultra 7 (Série 2) - 265H / 2.2 GHz, jusqu'à 5.3 GHz / 24 Mo Cache",Dell Smart Selection,,"Bluetooth, 802.11a/b/g/n/ac/ax/be, Gigabit Ethernet",Oui,3 ans de base sur site,"1 To SSD - SED, NVMe",Win 11 Pro,"Discrete Trusted Platform Module (TPM 2.0) Security Chip, lecteur d'empreintes digitales, lecteur de carte à puce",Intel vPro Enterprise,,Ordinateur portable - AI Ready,Build To Plan (BTP),Intel AI Boost - jusqu'à 13 TOPS,Oui
10459240,Lenovo V17 G4 IRU,LENOVO,"Conception de charnière à 180 degrés - Intel Core i5 - 13420H / jusqu'à 4.6 GHz - Win 11 Pro - Carte graphique Intel Iris Xe - 16 Go RAM - 512 Go SSD NVMe - 17.3"" IPS 1920 x 1080 (Full HD) - Wi-Fi 6 - gris de fer - clavier : Français",748.68,"17.3"" 1920 x 1080 / Full HD @ 60 Hz",,Jusqu'à 8.4 heures,Français,Oui,,Gris de fer,,289 kg d'émissions de carbone,,,,Garantie limitée - 1 an - enlèvement et retour,Carte graphique Intel Iris Xe,7.8 (sur 10),,Langue : français / région : France,,16 Go DDR4 (1 x 8 Go + 8 Go (soudé)),,ENERGY STAR,2.02 kg,"Intel Core i5 (13ème génération) - 13420H / 2.1 GHz, jusqu'à 4.6 GHz / 12 Mo Cache",Lenovo TopSeller,,"802.11a/b/g/n/ac/ax, Bluetooth 5.2",,,512 Go SSD - NVMe,Win 11 Pro - français,"Firmware Trusted Platform Module (TPM 2.0) Security Chip, lecteur d'empreintes digitales",,,Ordinateur portable - conception de charnière à 180 degrés,,,Oui
11811613,Dell Pro Max 16 MC16250,DELL,"Intel Core Ultra 7 - 255H / jusqu'à 5.1 GHz - Win 11 Pro - Arc Graphics 140T - 32 Go RAM - 1 To SSD SED, NVMe, Class 40 - 16"" 1920 x 1200 (Full HD Plus) - Gigabit Ethernet - Wi-Fi 7 - BTP - avec 3 ans de service de base sur site après un diagnostic à distance avec assistance uniquement matérielle",1555.29,"16"" 1920 x 1200 / Full HD Plus @ 60 Hz - 142 ppi",,4 cellules,,Oui,,,,118 kg d'émissions de carbone,"Accéléromètre, capteur à effet Hall",,,,Intel Arc Graphics 140T - jusqu'à 74 TOPS,,,,,32 Go DDR5 (2 x 16 Go),,"ENERGY STAR EPEAT Gold, EPEAT Climate+",2.2 kg,"Intel Core Ultra 7 (Série 2) - 255H / 2 GHz, jusqu'à 5.1 GHz / 24 Mo Cache",Dell Smart Selection,,"Bluetooth, 802.11a/b/g/n/ac/ax/be, Gigabit Ethernet",Oui,3 ans de service de base sur site après un diagnostic à distance avec assistance uniquement matérielle,"1 To SSD - SED, NVMe, Class 40",Win 11 Pro,"Discrete Trusted Platform Module (TPM 2.0) Security Chip, lecteur d'empreintes digitales, lecteur de carte à puce",,,Ordinateur portable,Build To Plan (BTP),Intel AI Boost - jusqu'à 13 TOPS,Oui
11891782,Dell Pro Max 14 MC14250,DELL,"Intel Core Ultra 7 - 265H / jusqu'à 5.3 GHz - vPro Enterprise - Win 11 Pro - RTX PRO 500 Blackwell - 32 Go RAM - 1 To SSD NVMe, Performance, SED - 14"" 1920 x 1200 (Full HD Plus) - Gigabit Ethernet - Wi-Fi 7 - magnétite - avec 3 ans de base sur site",1767.06,"14"" 1920 x 1200 / Full HD Plus @ 60 Hz - 162 ppi",,4 cellules,,,,Magnétite,,101 kg d'émissions de carbone,"Accéléromètre, capteur à effet Hall",,,,NVIDIA RTX PRO 500 Blackwell - jusqu'à 75 TOPS,8.3 (sur 10),,,,32 Go LPDDR5X (1 x 32 Go),6 Go GDDR7 SDRAM,"EPEAT Gold, EPEAT Climate+",1.79 kg,"Intel Core Ultra 7 (Série 2) - 265H / 2.2 GHz, jusqu'à 5.3 GHz / 24 Mo Cache",,,"Bluetooth, 802.11a/b/g/n/ac/ax/be, Gigabit Ethernet",Oui,3 ans de base sur site,"1 To SSD - NVMe, Performance, SED",Win 11 Pro,"Discrete Trusted Platform Module (TPM 2.0) Security Chip, lecteur d'empreintes digitales, lecteur de carte à puce",Intel vPro Enterprise,,Ordinateur portable - AI Ready,,Intel AI Boost - jusqu'à 13 TOPS,Oui
9044089,MSI CreatorPro Z17 HX Studio A13VJT-018FR,MSI,"018FR - Intel Core i7 - 13700HX / jusqu'à 5 GHz - Win 11 Pro - RTX 2000 Ada - 32 Go RAM - 2 To SSD NVMe - 17"" écran tactile 2560 x 1600 (QHD+) @ 165 Hz - Wi-Fi 6E, Bluetooth - gris lunaire",3332.5,"17"" écran tactile 2560 x 1600 / QHD+ @ 165 Hz",,4 cellules,,,,Gris lunaire,,,Détecteur de lumière ambiante,,,Garantie limitée - 3 ans - sur site,NVIDIA RTX 2000 Ada / Intel UHD Graphics,8 (sur 10),,,,32 Go DDR5 (2 x 16 Go),8 Go GDDR6 SDRAM,,2.49 kg,"Intel Core i7 (13ème génération) - 13700HX / 2.1 GHz, jusqu'à 5 GHz / 30 Mo Cache",,,"802.11a/b/g/n/ac/ax (Wi-Fi 6E), Bluetooth 5.3",Oui (RGB),,2 To SSD - NVMe,Win 11 Pro,Lecteur d'empreintes digitales,,,Ordinateur portable,,,Oui
9044091,MSI CreatorPro Z17 HX Studio A13VKT-017FR,MSI,"017FR - Intel Core i7 - 13700HX / jusqu'à 5 GHz - Win 11 Pro - RTX 3000 Ada - 32 Go RAM - 2 To SSD NVMe - 17"" écran tactile 2560 x 1600 (QHD+) @ 165 Hz - Wi-Fi 6E, Bluetooth - gris lunaire",3749.17,"17"" écran tactile 2560 x 1600 / QHD+ @ 165 Hz",,4 cellules,,,,Gris lunaire,,,Détecteur de lumière ambiante,,,Garantie limitée - 3 ans - sur site,NVIDIA RTX 3000 Ada / Intel UHD Graphics,8 (sur 10),,,,32 Go DDR5 (2 x 16 Go),8 Go GDDR6 SDRAM,,2.49 kg,"Intel Core i7 (13ème génération) - 13700HX / 2.1 GHz, jusqu'à 5 GHz / 30 Mo Cache",,,"802.11a/b/g/n/ac/ax (Wi-Fi 6E), Bluetooth 5.3",Oui (RGB),,2 To SSD - NVMe,Win 11 Pro,Lecteur d'empreintes digitales,,,Ordinateur portable,,,Oui
11450641,MSI CreatorPro M16 HX C14VKG-069FR,MSI,"069FR - Intel Core i9 - i9-14900HX / jusqu'à 5.8 GHz - Win 11 Pro - RTX 3000 Ada - 32 Go RAM - 2 To SSD NVMe - 16"" 2560 x 1600 (QHD+) @ 240 Hz - Gigabit Ethernet - Wi-Fi 6E, Bluetooth - gris lunaire",2749.17,"16"" 2560 x 1600 / QHD+ @ 240 Hz","Clavier, Pavé tactile",4 cellules,,Oui,,Gris lunaire,,,,,,Garantie limitée - 3 ans,NVIDIA RTX 3000 Ada / Intel UHD Graphics,6.7 (sur 10),,,,32 Go DDR5 (2 x 16 Go),8 Go GDDR6 SDRAM,,2.38 kg,Intel Core i9 (14ème génération) - i9-14900HX jusqu'à 5.8 GHz / 36 Mo Cache,,,"802.11a/b/g/n/ac/ax (Wi-Fi 6E), Bluetooth 5.3, Gigabit Ethernet",Oui (blanc),,2 To SSD - NVMe,Win 11 Pro,Firmware Trusted Platform Module (TPM 2.0) Security Chip,,,Station de travail mobile,,,Oui
10518518,HP ZBook Studio G11 Mobile Workstation,HP INC,"Intel Core Ultra 7 - 165H / jusqu'à 5 GHz - vPro - Win 11 Pro - RTX 3000 Ada - 16 Go RAM - 1 To SSD NVMe, TLC - 16"" IPS 1920 x 1200 - Wi-Fi 7, Bluetooth - clavier : Français - avec HP 3 ans d'assistance matérielle enlèvement et retour pour les ordinateurs portables",4406.0,"16"" WLED 1920 x 1200 / WUXGA @ 60 Hz - 142 ppi","Clavier, ClickPad",6 cellules,Français,,,,,,HP Tamper Lock,,,Garantie limitée - pièces et main d'oeuvre - 1 an,NVIDIA RTX 3000 Ada / Intel Arc Graphics,7.6 (sur 10),,Langue : français / région : France,,16 Go DDR5 (2 x 8 Go),8 Go GDDR6 SDRAM,ENERGY STAR,1.73 kg,"Intel Core Ultra 7 (Série 1) - 165H / 1.4 GHz, jusqu'à 5 GHz / 24 Mo Cache",,,"802.11a/b/g/n/ac/ax/be, Bluetooth 5.4",Oui,HP 3 ans d'assistance matérielle enlèvement et retour pour les ordinateurs portables,"1 To SSD - NVMe, TLC",Win 11 Pro - Anglais/Français,"Trusted Platform Module (TPM 2.0) Security Chip, lecteur d'empreintes digitales",Intel vPro Platform,,Station de travail mobile - AI Ready,,Intel AI Boost,Oui
9798588,Asus ProArt Studiobook 16 OLED (Intel Core i9-13980HX/64GB RAM/1TB PCIE G4 (PERFORMANCE) SSD/WIN11 PRO/RTX3000 ADA (8GB GDDR6),ASUSTEK,"ProArt Studiobook 16 OLED (W7604J3D-MY058X ) - US MIL-STD 810H Military Grade / Ecran Tactile / Clavier Rétroéclairé - Intel Core i9-13980HX / Jusqu'à 5.6GHz - 64GB de RAM DDR5 - 1TB PCIE G4 (PERFORMANCE) SSD - WIN11 PRO - Carte NVIDIA RTX™ 3000 Ada Generation Laptop GPU ( 8GB GDDR6 ) - Ecran 16"" OLED 120Hz 3200 x 2000 16:1",3162.5,"16"" OLED écran tactile 3200 x 2000 / 3.2K @ 120 Hz","Clavier, Pavé tactile, stylet",4 cellules,,Oui,,Noir minéral,,,,,,Garantie limitée - 2 ans - enlèvement et retour,NVIDIA RTX A3000 / Intel UHD Graphics,6.3 (sur 10),,,,32 Go DDR5 (2 x 32 GB),8 Go GDDR6 SDRAM,,2.4 kg,"Intel Core i9 (13ème génération) - 13980HX / 2.2 GHz, jusqu'à 5.6 GHz / 36 Mo Cache",,,"802.11a/b/g/n/ac/ax (Wi-Fi 6E), Bluetooth 5.3, Gigabit Ethernet",Oui,,"1 To SSD - NVMe, Performance",Win 11 Pro,Trusted Platform Module (TPM 2.0) Security Chip,,,Station de travail mobile - conception de charnière à 180 degrés,,,Oui
11941191,HP ZBook X G1i Mobile Workstation,HP INC,"Intel Core Ultra 9 - 285H / jusqu'à 5.4 GHz - vPro Enterprise - Win 11 Pro - Arc Graphics 140T - 32 Go RAM - 1 To SSD NVMe, TLC - 16"" IPS 1920 x 1200 - Gigabit Ethernet - Wi-Fi 6E, Bluetooth, NFC - argent météore - clavier : Français - avec HP 3 years External Mobile Workstation Support Package",3409.0,"16"" WLED 1920 x 1200 / WUXGA @ 60 Hz","Clavier, ClickPad",6 cellules,Français,Oui,,Argent météore,,,"Détecteur de lumière ambiante, HP Tamper Lock, capteur de couleur adaptatif, capteur à effet Hall, HP Sure Platform, capteur de mouvement, capteur thermique",,,,Intel Arc Graphics 140T - jusqu'à 77 TOPS,,,Langue : français / région : France,Yes,32 Go DDR5 (2 x 16 Go),,"ENERGY STAR EPEAT Gold, EPEAT Climate+",2.04 kg,"Intel Core Ultra 9 (Série 2) - 285H / 2.9 GHz, jusqu'à 5.4 GHz / 24 Mo Cache",,,"802.11a/b/g/n/ac/ax (Wi-Fi 6E), Bluetooth 5.3, NFC, Gigabit Ethernet",Oui,HP 3 years External Mobile Workstation Support Package,"1 To SSD - NVMe, TLC",Win 11 Pro - Anglais/Français,"Trusted Platform Module (TPM 2.0) Security Chip, lecteur d'empreintes digitales, lecteur de carte à puce",Intel vPro Enterprise,,Station de travail mobile - AI Ready,,Intel AI Boost - jusqu'à 13 TOPS,Oui
10371688,HP ZBook Power G11 A Mobile Workstation,HP INC,"AMD Ryzen 5 - 8645H / jusqu'à 5 GHz - Win 11 Pro - Radeon 760M - 16 Go RAM - 1 To SSD NVMe, TLC - 16"" IPS 1920 x 1200 - Gigabit Ethernet - Wi-Fi 6E, Bluetooth - clavier : Français - avec HP 3 ans d'assistance matérielle enlèvement et retour pour les ordinateurs portables - avec HP Wolf Pro Security Edition (1 an)",1621.0,"16"" WLED 1920 x 1200 / WUXGA @ 60 Hz","Clavier, ClickPad",6 cellules,Français,Oui,,,,,"Détecteur de lumière ambiante, capteur à effet Hall, capteur de mouvement, HP Tamper Lock, capteur thermique, HP Sure Platform",HP Wolf Pro Security Edition (1 an),,Garantie limitée - pièces et main d'oeuvre - 1 an,AMD Radeon 760M,8.7 (sur 10),,Langue : français / région : France,,16 Go DDR5 (2 x 8 Go),,"TCO Certifié, génération 10, pour ordinateurs portables, ENERGY STAR",2.04 kg,AMD Ryzen 5 8645H jusqu'à 5 GHz / 16 Mo Cache,,,"802.11a/b/g/n/ac/ax (Wi-Fi 6E), Bluetooth 5.3, Gigabit Ethernet",Oui,HP 3 ans d'assistance matérielle enlèvement et retour pour les ordinateurs portables,"1 To SSD - NVMe, TLC",Win 11 Pro - Anglais/Français,"Trusted Platform Module (TPM 2.0) Security Chip, lecteur d'empreintes digitales",,,Station de travail mobile - AI Ready,,,Oui
10371693,HP ZBook Firefly 14 G11 A Mobile Workstation,HP INC,"AMD Ryzen 7 - 8840HS / jusqu'à 5.1 GHz - Win 11 Pro - Radeon 780M - 32 Go RAM - 1 To SSD NVMe - 14"" IPS 1920 x 1200 - Wi-Fi 6E, Bluetooth - clavier : Français - avec HP 3 ans d'assistance matérielle enlèvement et retour pour les ordinateurs portables - avec HP Wolf Pro Security Edition (1 an)",2164.0,"14"" WLED 1920 x 1200 / WUXGA @ 60 Hz","Clavier, ClickPad",3 cellules,Français,,,,,,"Détecteur de lumière ambiante, capteur à effet Hall, HP Tamper Lock, capteur thermique, capteur de couleur adaptatif",HP Wolf Pro Security Edition (1 an),,Garantie limitée - pièces et main d'oeuvre - 1 an,AMD Radeon 780M,,,Langue : français / région : France,,32 Go DDR5 (2 x 16 Go),,ENERGY STAR,1.41 kg,"AMD Ryzen 7 8840HS / 3.3 GHz, jusqu'à 5.1 GHz / 16 Mo Cache",,,"802.11a/b/g/n/ac/ax (Wi-Fi 6E), Bluetooth 5.3",Oui,HP 3 ans d'assistance matérielle enlèvement et retour pour les ordinateurs portables,1 To SSD - NVMe,Win 11 Pro - Anglais/Français,"Trusted Platform Module (TPM 2.0) Security Chip, lecteur d'empreintes digitales, lecteur de carte à puce",,,Station de travail mobile - AI Ready,,AMD Ryzen AI - jusqu'à 16 TOPS,Oui
10371694,HP ZBook Firefly 14 G11 A Mobile Workstation,HP INC,"AMD Ryzen 5 - 8640HS / jusqu'à 4.9 GHz - Win 11 Pro - Radeon 760M - 16 Go RAM - 512 Go SSD NVMe - 14"" IPS 1920 x 1200 - Wi-Fi 6E, Bluetooth - clavier : Français - avec HP 3 ans d'assistance matérielle enlèvement et retour pour les ordinateurs portables - avec HP Wolf Pro Security Edition (1 an)",1769.0,"14"" WLED 1920 x 1200 / WUXGA @ 60 Hz","Clavier, ClickPad",3 cellules,Français,,,,,,"Capteur à effet Hall, HP Tamper Lock, capteur thermique, capteur de couleur adaptatif",HP Wolf Pro Security Edition (1 an),,Garantie limitée - pièces et main d'oeuvre - 1 an,AMD Radeon 760M,,,Langue : français / région : France,,16 Go DDR5 (2 x 8 Go),,ENERGY STAR,1.41 kg,"AMD Ryzen 5 8640HS / 3.5 GHz, jusqu'à 4.9 GHz / 16 Mo Cache",,,"802.11a/b/g/n/ac/ax (Wi-Fi 6E), Bluetooth 5.3",Oui,HP 3 ans d'assistance matérielle enlèvement et retour pour les ordinateurs portables,512 Go SSD - NVMe,Win 11 Pro - Anglais/Français,"Trusted Platform Module (TPM 2.0) Security Chip, lecteur d'empreintes digitales, lecteur de carte à puce",,,Station de travail mobile - AI Ready,,AMD Ryzen AI - jusqu'à 16 TOPS,Oui
11876344,Lenovo ThinkPad P16 Gen 3 21RQ,LENOVO,"Intel Core Ultra 7 - 265HX / jusqu'à 5.3 GHz - vPro Enterprise - Win 11 Pro - RTX PRO 3000 Blackwell - 64 Go RAM - 1 To SSD TCG Opal Encryption 2, NVMe, Performance - 16"" IPS 1920 x 1200 - 2.5 Gigabit Ethernet - Wi-Fi 7, Bluetooth - noir - clavier : Français - avec 3 ans de support Lenovo Premier, compensation CO2 0,5 tonne",3317.65,"16"" 1920 x 1200 / WUXGA @ 60 Hz",Clavier,,Français,Oui,,Noir,,,,,,Garantie de base - 3 ans - enlèvement et retour ¦ Garantie de base - batterie - 1 an ¦ Garantie étendue - 3 ans - sur site - temps de réponse : jour ouvré suivant ¦ Garantie étendue - batterie - 1 an,NVIDIA RTX PRO 3000 Blackwell / Intel Graphics,,,Langue : français / région : France,,64 Go DDR5 (2 x 32 GB),12 Go GDDR7 SDRAM,ENERGY STAR EPEAT Gold,2.54 kg,Intel Core Ultra 7 (Série 2) - 265HX jusqu'à 5.3 GHz / 30 Mo Cache,Lenovo TopSeller,,"802.11a/b/g/n/ac/ax/be, Bluetooth 5.4, 2.5 Gigabit Ethernet",Oui,"3 ans de support Lenovo Premier, compensation CO2 0,5 tonne (2e génération)","1 To SSD - TCG Opal Encryption 2, NVMe, Performance",Win 11 Pro - Anglais/Français,"Discrete Trusted Platform Module (TPM 2.0) Security Chip, lecteur d'empreintes digitales",Intel vPro Enterprise,,Station de travail mobile,,Intel AI Boost - jusqu'à 13 TOPS,Oui
11876345,Lenovo ThinkPad P16 Gen 3 21RQ,LENOVO,"Intel Core Ultra 7 - 255HX / jusqu'à 5.2 GHz - Win 11 Pro - RTX PRO 2000 Blackwell - 32 Go RAM - 1 To SSD TCG Opal Encryption 2, NVMe, Performance - 16"" IPS 1920 x 1200 - 2.5 Gigabit Ethernet - Wi-Fi 7, Bluetooth - noir - clavier : Français - avec 3 ans de support Lenovo Premier, compensation CO2 0,5 tonne (2e génération)",2635.29,"16"" 1920 x 1200 / WUXGA @ 60 Hz","Clavier, TrackPoint, UltraNav",,Français,Oui,,Noir,,,,,,Garantie de base - 3 ans - enlèvement et retour ¦ Garantie de base - batterie - 1 an ¦ Garantie étendue - 3 ans - sur site - temps de réponse : jour ouvré suivant,NVIDIA RTX PRO 2000 Blackwell / Intel Graphics - jusqu'à 8 TOPS,,,Langue : français / région : France,Yes,32 Go DDR5 (2 x 16 Go),8 Go GDDR7 SDRAM,ENERGY STAR EPEAT Gold,2.54 kg,"Intel Core Ultra 7 (Série 2) - 255HX / 2.4 GHz, jusqu'à 5.2 GHz / 30 Mo Cache",Lenovo TopSeller,,"802.11a/b/g/n/ac/ax/be, Bluetooth 5.4, 2.5 Gigabit Ethernet",Oui,"3 ans de support Lenovo Premier, compensation CO2 0,5 tonne (2e génération)","1 To SSD - TCG Opal Encryption 2, NVMe, Performance",Win 11 Pro - français,"Discrete Trusted Platform Module (TPM 2.0) Security Chip, lecteur d'empreintes digitales",,,Station de travail mobile,,Intel AI Boost - jusqu'à 13 TOPS,Oui
11876346,Lenovo ThinkPad P16 Gen 3 21RQ,LENOVO,"Intel Core Ultra 9 - 275HX / jusqu'à 5.4 GHz - Win 11 Pro - RTX PRO 4000 Blackwell - 64 Go RAM - 1 To SSD TCG Opal Encryption 2, NVMe, Performance - 16"" IPS 1920 x 1200 - 2.5 Gigabit Ethernet - Wi-Fi 7, Bluetooth - noir - clavier : Français - avec 3 ans de support Lenovo Premier, compensation CO2 0,5 tonne (2e génération)",3647.06,"16"" 1920 x 1200 / WUXGA @ 60 Hz",Clavier,,Français,Oui,,Noir,,,,,,Garantie de base - 3 ans - enlèvement et retour ¦ Garantie de base - batterie - 1 an ¦ Garantie étendue - 3 ans - sur site - temps de réponse : jour ouvré suivant ¦ Garantie étendue - batterie - 1 an,NVIDIA RTX PRO 4000 Blackwell / Intel Graphics,,,Langue : français / région : France,,64 Go DDR5 (2 x 32 GB),16 Go GDDR7 SDRAM,ENERGY STAR EPEAT Gold,2.54 kg,Intel Core Ultra 9 (Série 2) - 275HX jusqu'à 5.4 GHz / 36 Mo Cache,Lenovo TopSeller,,"802.11a/b/g/n/ac/ax/be, Bluetooth 5.4, 2.5 Gigabit Ethernet",Oui,"3 ans de support Lenovo Premier, compensation CO2 0,5 tonne (2e génération)","1 To SSD - TCG Opal Encryption 2, NVMe, Performance",Win 11 Pro - Anglais/Français,"Discrete Trusted Platform Module (TPM 2.0) Security Chip, lecteur d'empreintes digitales",,,Station de travail mobile,,Intel AI Boost - jusqu'à 13 TOPS,Oui
11876347,Lenovo ThinkPad P16 Gen 3 21RQ,LENOVO,"Intel Core Ultra 7 - 265HX / jusqu'à 5.3 GHz - vPro Enterprise - Win 11 Pro - RTX PRO 2000 Blackwell - 32 Go RAM - 1 To SSD TCG Opal Encryption 2, NVMe, Performance - 16"" IPS 1920 x 1200 - 2.5 Gigabit Ethernet - Wi-Fi 7, Bluetooth - noir - clavier : Français - avec 3 ans de support Lenovo Premier, compensation CO2 0,5 tonne",2917.65,"16"" 1920 x 1200 / WUXGA @ 60 Hz",Clavier,,Français,Oui,,Noir,,,,,,Garantie de base - 3 ans - enlèvement et retour ¦ Garantie de base - batterie - 1 an ¦ Garantie étendue - 3 ans - sur site - temps de réponse : jour ouvré suivant ¦ Garantie étendue - batterie - 1 an,NVIDIA RTX PRO 2000 Blackwell / Intel Graphics,,,Langue : français / région : France,,32 Go DDR5 (2 x 16 Go),8 Go GDDR7 SDRAM,ENERGY STAR EPEAT Gold,2.54 kg,Intel Core Ultra 7 (Série 2) - 265HX jusqu'à 5.3 GHz / 30 Mo Cache,Lenovo TopSeller,,"802.11a/b/g/n/ac/ax/be, Bluetooth 5.4, 2.5 Gigabit Ethernet",Oui,"3 ans de support Lenovo Premier, compensation CO2 0,5 tonne (2e génération)","1 To SSD - TCG Opal Encryption 2, NVMe, Performance",Win 11 Pro - Anglais/Français,"Discrete Trusted Platform Module (TPM 2.0) Security Chip, lecteur d'empreintes digitales",Intel vPro Enterprise,,Station de travail mobile,,Intel AI Boost - jusqu'à 13 TOPS,Oui
10305641,Lenovo ThinkPad P16v Gen 2 21KX,LENOVO,"Conception de charnière à 180 degrés - Intel Core Ultra 7 - 155H / jusqu'à 4.8 GHz - Win 11 Pro - RTX 500 Ada - 32 Go RAM - 1 To SSD TCG Opal Encryption 2, NVMe, Performance - 16"" IPS 1920 x 1200 - Gigabit Ethernet - Wi-Fi 6E, Bluetooth - mise à niveau possible 4G/5G - noir - clavier : Français - avec 3 ans de support Lenov",1827.06,"16"" 1920 x 1200 / WUXGA @ 60 Hz","Clavier, TrackPoint, UltraNav",,Français,Oui,,Noir,,268 kg d'émissions de carbone,,,,Garantie de base - 3 ans - enlèvement et retour ¦ Garantie de base - batterie - 1 an ¦ Garantie étendue - 3 ans - sur site - temps de réponse : jour ouvré suivant,NVIDIA RTX 500 Ada / Intel Arc Graphics,6.4 (sur 10),,Langue : français / région : France,,32 Go DDR5 (2 x 16 Go),4 Go GDDR6 SDRAM,"TCO Certified Notebooks 9, ENERGY STAR EPEAT Gold",2.22 kg,"Intel Core Ultra 7 (Série 1) - 155H / 1.4 GHz, jusqu'à 4.8 GHz / 24 Mo Cache",Lenovo TopSeller,,"802.11a/b/g/n/ac/ax (Wi-Fi 6E), Bluetooth 5.3, Gigabit Ethernet",Oui,"3 ans de support Lenovo Premier, compensation CO2 0,5 tonne (2e génération)","1 To SSD - TCG Opal Encryption 2, NVMe, Performance",Win 11 Pro - français,"Discrete Trusted Platform Module (TPM 2.0) Security Chip, lecteur d'empreintes digitales",,Mise à niveau possible 4G/5G,Station de travail mobile - AI Ready - conception de charnière à 180 degrés,,Intel AI Boost - jusqu'à 11 TOPS,Oui
